Unnamed: 0,id,temperature,unc_t,pressure,unc_p,density,unc_rho,value,uncertainty,unit,property,type,database,phase,const_value,const_prop,quality,note,substance_id,reference_id,id_1,ddbnr,cas,common_name,iupac_name,iupac_name_source,inchi_key,canonical_smiles,isomeric_smiles,inchi,formula,family,source,id_2,database_refID,database_1,title,authors,year,pages,volume,issue,journal
54997,56478,474.01,0.5,49200000.0,147600.0,,,0.0001456,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54998,56479,474.01,0.5,49200000.0,147600.0,,,0.0001456,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54999,56480,474.05,0.5,98460000.0,295380.0,,,0.0001565999999999,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
55000,56481,474.11,0.5,98460000.0,295380.0,,,0.0001577,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
55001,56482,474.09,0.5,97590000.0,292770.0,,,0.0001547,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
55002,56483,500.0,0.5,8190000.0,24570.0,,,0.0001223,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
55003,56484,500.02,0.5,8180000.0,24540.0,,,0.0001211,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
55004,56485,499.87,0.5,8160000.0,24480.0,,,0.00012,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
55005,56486,499.7,0.5,8090000.0,24270.0,,,0.0001214,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
55006,56487,499.44,0.5,8040000.0,24120.0,,,0.0001229,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
55007,56488,573.57,0.5,9920000.0,29760.0,,,9.032e-05,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
