speed_of_sound_m_s,temperature,pressure,state,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,dp_drho_npt,dp_drho_nvt,dp_drho_tot,speed_of_sound,success
1040.0,413.15,19710000.0,liquid,4046.769326103137,21.76871309765395,-69.94652956398534,-8.412633837726178 m^-2 kg^-1 s^2 mol K,-1.5309727164030635 m^-2 kg^-1 s^2 mol K,-50012.5922999049,-48577.16063803616,-19678.751948675625,-21114.183610544354,0.0002471106997746661,528.3126820928292,482.6755932937742,-0.07243825583447933,-65.18365436477877,-65.11121610894429,-47930.44430470917,-51327.84733384201,3871.5634246159916,0.0002582935859043009,3.159491932262079,0.31650658442543866,-0.3162482908395344,-9.595169103704393e-09,3.8459877055633745e-05,4.818607095917019e-05,6.999118657030032e-06,1.252891965553273,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,124602.82124354485,128073.50754799975,131508.62777868976,919.626264467566,1
1106.5,413.15,29520000.0,liquid,4116.9223259877845,19.664879910095596,-71.90746199583769,-8.64847979938472 m^-2 kg^-1 s^2 mol K,-1.5738931310482187 m^-2 kg^-1 s^2 mol K,-50778.67538241545,-47043.390717764785,-17334.82279418443,-21070.10745883511,0.0002428998948286126,526.8120927875852,483.77548099983227,-0.07243825583447933,-65.18365436477877,-65.11121610894429,-47930.44430470917,-51327.84733384201,3871.5634246159916,0.0002582935859043009,3.159491932262079,0.31650658442543866,-0.3162482908395344,-9.595169103704393e-09,3.8459877055633745e-05,4.818607095917019e-05,6.999118657030032e-06,1.252891965553273,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,133403.34398939004,144935.59110257844,148370.71133326847,974.3083512444076,1
1166.2,413.15,39330000.0,liquid,4179.6635833494665,17.758351098282855,-73.68823551763575,-8.862657624649101 m^-2 kg^-1 s^2 mol K,-1.6128702710573146 m^-2 kg^-1 s^2 mol K,-51441.23555366776,-45466.50754760509,-15022.21304349388,-20996.94104955655,0.0002392537054857003,525.8129727822732,484.7884665779871,-0.07243825583447933,-65.18365436477877,-65.11121610894429,-47930.44430470917,-51327.84733384201,3871.5634246159916,0.0002582935859043009,3.159491932262079,0.31650658442543866,-0.3162482908395344,-9.595169103704393e-09,3.8459877055633745e-05,4.818607095917019e-05,6.999118657030032e-06,1.252891965553273,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,138735.89602022854,161077.2371336387,164512.35736432872,1023.8943965603838,1
1220.5,413.15,49130000.0,liquid,4236.571120723433,16.008038292944285,-75.32610782674892,-9.05964838452541 m^-2 kg^-1 s^2 mol K,-1.648719623896336 m^-2 kg^-1 s^2 mol K,-52022.54029572008,-43861.018194672026,-12740.036746050717,-20901.55884709876,0.00023603994161892908,525.1516531807847,485.7331952025157,-0.07243825583447933,-65.18365436477877,-65.11121610894429,-47930.44430470917,-51327.84733384201,3871.5634246159916,0.0002582935859043009,3.159491932262079,0.31650658442543866,-0.3162482908395344,-9.595169103704393e-09,3.8459877055633745e-05,4.818607095917019e-05,6.999118657030032e-06,1.252891965553273,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,140901.47255639808,176615.52450570063,180050.64473639065,1069.441939258369,1
809.7,433.15,100000.0,liquid,3779.773294430555,52.48496648365504,-61.24679865323225,-7.366296712851904 m^-2 kg^-1 s^2 mol K,-1.340555111020263 m^-2 kg^-1 s^2 mol K,-46245.80592597438,-49820.75879583657,-23291.70795918902,-19716.755089326834,0.0002645661319088863,549.4997938623748,492.95350007609306,-0.1294217207869431,-61.2228680653286,-61.093446344541654,-46114.256515320616,-49646.008535487716,3778.8329078859692,0.0002646319708693974,6.048815319262635,0.16532162865271646,-0.16505699668184706,2.929446054622531e-07,4.010510351766115e-05,4.9338597112842956e-05,7.2985251062175425e-06,1.2302323840434832,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,83667.40268619114,80066.18755826063,83667.59704131371,740.2455961021163,1
908.1,433.15,9910000.0,liquid,3884.995355352231,49.54674445738172,-63.95672419806509,-7.692225840119392 m^-2 kg^-1 s^2 mol K,-1.399869305712761 m^-2 kg^-1 s^2 mol K,-47484.181335777685,-48534.75121837994,-20831.896131988055,-19781.3262493858,0.00025740056513126396,544.7624761279571,494.3839718689204,-0.1294217207869431,-61.2228680653286,-61.093446344541654,-46114.256515320616,-49646.008535487716,3778.8329078859692,0.0002646319708693974,6.048815319262635,0.16532162865271646,-0.16505699668184706,2.929446054622531e-07,4.010510351766115e-05,4.9338597112842956e-05,7.2985251062175425e-06,1.2302323840434832,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,101388.26364529492,99593.58641466875,103194.99589772183,817.3670290760318,1
989.0,433.15,19710000.0,liquid,3972.4164389880243,47.06122931834573,-66.25721929615717,-7.968911803331174 m^-2 kg^-1 s^2 mol K,-1.4502219858436047 m^-2 kg^-1 s^2 mol K,-48477.84209626611,-47117.53613414263,-18418.221596012154,-19778.527558135633,0.0002517359434386871,541.914766178517,495.6136018210912,-0.1294217207869431,-61.2228680653286,-61.093446344541654,-46114.256515320616,-49646.008535487716,3778.8329078859692,0.0002646319708693974,6.048815319262635,0.16532162865271646,-0.16505699668184706,2.929446054622531e-07,4.010510351766115e-05,4.9338597112842956e-05,7.2985251062175425e-06,1.2302323840434832,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,114465.53618338185,117699.95591518197,121301.36539823504,882.7609703840878,1
1058.9,433.15,29520000.0,liquid,4048.0259665760937,44.87834649926463,-68.28333489898054,-8.212597498471554 m^-2 kg^-1 s^2 mol K,-1.4945691139647157 m^-2 kg^-1 s^2 mol K,-49308.27123985252,-45617.237382931526,-16040.310871438103,-19731.344728359098,0.000247033988481507,540.0644743629824,496.70995939165755,-0.1294217207869431,-61.2228680653286,-61.093446344541654,-46114.256515320616,-49646.008535487716,3778.8329078859692,0.0002646319708693974,6.048815319262635,0.16532162865271646,-0.16505699668184706,2.929446054622531e-07,4.010510351766115e-05,4.9338597112842956e-05,7.2985251062175425e-06,1.2302323840434832,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,123655.06467860116,134820.02100787146,138421.43049092454,940.3497907875428,1
1121.2,433.15,39330000.0,liquid,4114.988172871746,42.918767607820335,-70.1065016171018,-8.431874053295514 m^-2 kg^-1 s^2 mol K,-1.5344741459984266 m^-2 kg^-1 s^2 mol K,-50019.15145245625,-44062.817790757494,-13696.186615309854,-19652.52027700861,0.0002430140641940473,538.8163593413523,497.70863955255294,-0.1294217207869431,-61.2228680653286,-61.093446344541654,-46114.256515320616,-49646.008535487716,3778.8329078859692,0.0002646319708693974,6.048815319262635,0.16532162865271646,-0.16505699668184706,2.929446054622531e-07,4.010510351766115e-05,4.9338597112842956e-05,7.2985251062175425e-06,1.2302323840434832,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,129404.25950255158,151168.04507740925,154769.4545604623,992.1830819449649,1
1177.7,433.15,49130000.0,liquid,4175.2789988188315,41.132671914883495,-71.77166160411832,-8.632146766456907 m^-2 kg^-1 s^2 mol K,-1.5709207649294823 m^-2 kg^-1 s^2 mol K,-50637.95115930286,-42472.482305866564,-11384.587082042712,-19550.055935479006,0.00023950495291042724,537.9626476337411,498.6319826268758,-0.1294217207869431,-61.2228680653286,-61.093446344541654,-46114.256515320616,-49646.008535487716,3778.8329078859692,0.0002646319708693974,6.048815319262635,0.16532162865271646,-0.16505699668184706,2.929446054622531e-07,4.010510351766115e-05,4.9338597112842956e-05,7.2985251062175425e-06,1.2302323840434832,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,132035.2916323675,166879.78129998932,170481.1907830424,1039.5386126234941,1
