speed_of_sound_m_s,temperature,pressure,state,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,dp_drho_npt,dp_drho_nvt,dp_drho_tot,speed_of_sound,success
1110.7,353.15,19710000.0,liquid,5913.115888112635,-54.62851345873401,-56.39472370200004,-6.7827262316233865 m^-2 kg^-1 s^2 mol K,-1.7766990338493782 m^-2 kg^-1 s^2 mol K,-36379.85602693393,-35982.8404954846,-16067.04382012329,-16464.059351572618,0.00016911557610604902,335.9690345817976,300.39693265530025,-0.09487240778699593,-52.873055667532924,-52.77818325974593,-35005.90459803026,-37895.70198696419,5678.546907343004,0.00017610138937249718,8.0531348118562,0.12417524645530005,-0.12399914506592756,1.1671363608911633e-07,2.735187432708333e-05,3.641341097944988e-05,7.164677893724678e-06,1.331294906667291,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,93270.64312257784,94118.35530916361,97054.60778276443,974.8054955382759,1
1175.3,353.15,29520000.0,liquid,6008.509896135259,-56.2346512837654,-57.867797990784126,-6.959896345488337 m^-2 kg^-1 s^2 mol K,-1.8231078021501301 m^-2 kg^-1 s^2 mol K,-36881.29317029034,-34904.51387556751,-14468.501015122094,-16445.28030984493,0.0001664306154581207,334.94953948494543,301.2510084486623,-0.09487240778699593,-52.873055667532924,-52.77818325974593,-35005.90459803026,-37895.70198696419,5678.546907343004,0.00017610138937249718,8.0531348118562,0.12417524645530005,-0.12399914506592756,1.1671363608911633e-07,2.735187432708333e-05,3.641341097944988e-05,7.164677893724678e-06,1.331294906667291,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,100530.278364607,105814.66814625355,108750.92061985435,1028.8449246412845,1
1233.6,353.15,39330000.0,liquid,6094.335364856303,-57.69904426626515,-59.21426752671189,-7.121839407567656 m^-2 kg^-1 s^2 mol K,-1.8655279252849055 m^-2 kg^-1 s^2 mol K,-37318.0000610428,-33800.718614144,-12889.200037085684,-16406.481483984495,0.000164086801945068,334.2878409363412,302.04625294206437,-0.09487240778699593,-52.873055667532924,-52.77818325974593,-35005.90459803026,-37895.70198696419,5678.546907343004,0.00017610138937249718,8.0531348118562,0.12417524645530005,-0.12399914506592756,1.1671363608911633e-07,2.735187432708333e-05,3.641341097944988e-05,7.164677893724678e-06,1.331294906667291,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,105779.0489226236,117026.89690955469,119963.1493831555,1078.0912070589488,1
1286.7,353.15,49130000.0,liquid,6172.5370164542655,-59.049968243410184,-60.459180208196436,-7.271567987592357 m^-2 kg^-1 s^2 mol K,-1.9047485298596911 m^-2 kg^-1 s^2 mol K,-37703.32038036452,-32680.12281437326,-11328.963323848686,-16352.160889839952,0.00016200793892920826,333.87159715913333,302.7946860171741,-0.09487240778699593,-52.873055667532924,-52.77818325974593,-35005.90459803026,-37895.70198696419,5678.546907343004,0.00017610138937249718,8.0531348118562,0.12417524645530005,-0.12399914506592756,1.1671363608911633e-07,2.735187432708333e-05,3.641341097944988e-05,7.164677893724678e-06,1.331294906667291,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,109189.32618180537,127829.1627885386,130765.41526213942,1123.492227079415,1
873.5,373.15,100000.0,liquid,5531.317181470504,-31.77727508360168,-49.286526243933615,-5.927806583233018 m^-2 kg^-1 s^2 mol K,-1.5527573824478775 m^-2 kg^-1 s^2 mol K,-33700.761976333575,-36785.22482583469,-18393.95755791086,-15309.49470840975,0.0001807887646273341,350.32716544498334,306.76199713824957,-0.16815890923363958,-49.27462669169981,-49.10646778246617,-33555.422788751675,-36572.14346642686,5530.463435696965,0.00018081667325479337,15.43097330540825,0.06480472619633915,-0.06462390952308435,-8.338247425854206e-09,2.877414638403118e-05,3.743031487124315e-05,7.537234488692157e-06,1.3008314607037619,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,62491.080325815325,59388.6439475963,62491.185673560176,790.4119950738572,1
968.7,373.15,9910000.0,liquid,5673.230780559865,-33.98915808116199,-51.287780768144614,-6.168502177899785 m^-2 kg^-1 s^2 mol K,-1.6158063123165822 m^-2 kg^-1 s^2 mol K,-34504.40233699815,-35860.14397967299,-16722.108586039834,-15366.366943364987,0.00017626640598275022,346.9468254528955,307.84840411510277,-0.16815890923363958,-49.27462669169981,-49.10646778246617,-33555.422788751675,-36572.14346642686,5530.463435696965,0.00018081667325479337,15.43097330540825,0.06480472619633915,-0.06462390952308435,-8.338247425854206e-09,2.877414638403118e-05,3.743031487124315e-05,7.537234488692157e-06,1.3008314607037619,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,75036.02140119535,72916.9670222165,76019.50874818038,866.0312148073223,1
1047.6,373.15,19710000.0,liquid,5792.424996183192,-35.879121353436695,-53.00486748233363,-6.375020240827874 m^-2 kg^-1 s^2 mol K,-1.66990261966363 m^-2 kg^-1 s^2 mol K,-35156.50090945231,-34856.32270153921,-15077.556400506415,-15377.73460841952,0.0001726392660515986,344.8892855358026,308.79888273669445,-0.16815890923363958,-49.27462669169981,-49.10646778246617,-33555.422788751675,-36572.14346642686,5530.463435696965,0.00018081667325479337,15.43097330540825,0.06480472619633915,-0.06462390952308435,-8.338247425854206e-09,2.877414638403118e-05,3.743031487124315e-05,7.537234488692157e-06,1.3008314607037619,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,84878.5318202562,85507.93118359603,88610.4729095599,930.7917578627336,1
1116.3,373.15,29520000.0,liquid,5896.236244739033,-37.54990208146509,-54.52795679848244,-6.558205779821507 m^-2 kg^-1 s^2 mol K,-1.7178870965584416 m^-2 kg^-1 s^2 mol K,-35705.53614935613,-33801.49422183437,-13454.387142480653,-15358.429070002408,0.00016959971725899866,343.55372862993687,309.65755298681887,-0.16815890923363958,-49.27462669169981,-49.10646778246617,-33555.422788751675,-36572.14346642686,5530.463435696965,0.00018081667325479337,15.43097330540825,0.06480472619633915,-0.06462390952308435,-8.338247425854206e-09,2.877414638403118e-05,3.743031487124315e-05,7.537234488692157e-06,1.3008314607037619,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,92460.23492893987,97436.83672249217,100539.37844845603,988.1721345540581,1
1177.7,373.15,39330000.0,liquid,5988.627983187904,-39.056927356052725,-55.905707877564424,-6.723911146765354 m^-2 kg^-1 s^2 mol K,-1.7612927354268004 m^-2 kg^-1 s^2 mol K,-36178.10373848388,-32713.19794384497,-11851.98304933181,-15316.888843970712,0.00016698315587599313,342.6634669315988,310.44799826607414,-0.16815890923363958,-49.27462669169981,-49.10646778246617,-33555.422788751675,-36572.14346642686,5530.463435696965,0.00018081667325479337,15.43097330540825,0.06480472619633915,-0.06462390952308435,-8.338247425854206e-09,2.877414638403118e-05,3.743031487124315e-05,7.537234488692157e-06,1.3008314607037619,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,98041.37809028068,108840.78217053211,111943.32389649599,1040.0317079547756,1
1233.5,373.15,49130000.0,liquid,6072.121963729575,-40.435622933551784,-57.169283139430654,-6.875884319283736 m^-2 kg^-1 s^2 mol K,-1.8011012990579776 m^-2 kg^-1 s^2 mol K,-36591.235420519224,-31602.701194210276,-10269.983190731726,-15258.517417040677,0.00016468707413541266,342.0692054623092,311.18526490118154,-0.16815890923363958,-49.27462669169981,-49.10646778246617,-33555.422788751675,-36572.14346642686,5530.463435696965,0.00018081667325479337,15.43097330540825,0.06480472619633915,-0.06462390952308435,-8.338247425854206e-09,2.877414638403118e-05,3.743031487124315e-05,7.537234488692157e-06,1.3008314607037619,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,101810.03082851524,119808.09494375378,122910.63666971766,1087.5524775423187,1
