thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,dp_drho_npt,dp_drho_nvt,dp_drho_tot,speed_of_sound,success
0.1175,333.37,1000000.0,Liquid,190310,5832.8136580407245,-70.29708707300409,-56.895373259297855,-6.842940532930692 m^-2 kg^-1 s^2 mol K,-1.7924718495732115 m^-2 kg^-1 s^2 mol K,-36536.27171259563,-39136.62027072993,-20169.409687277803,-17569.061129143513,0.00017144384487947207,330.3551216604957,290.38695340666095,-0.04930082438513974,-56.706480905684444,-56.6571800812993,-36430.024338702744,-39178.76031665652,5820.697378352678,0.00017180071991356661,3.8522498444502666,0.25958856262675883,-0.25941676190684526,-3.478271537460387e-08,2.5915983181259105e-05,3.537895615546703e-05,6.788553850916572e-06,1.365140419640764,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,82308.82507882112,79547.63700242112,82319.42940543486,905.4430892404071,1
0.1149,343.44,1000000.0,Liquid,190310,5761.572155997441,-60.39635352296835,-54.91091092532106,-6.604264574529719 m^-2 kg^-1 s^2 mol K,-1.7299519526743814 m^-2 kg^-1 s^2 mol K,-35832.330304981486,-38514.28560858635,-19655.682360394083,-16973.72705678922,0.00017356373797368168,335.0781460332557,294.5169130340413,-0.0696488236380514,-54.7169216350138,-54.64727281137574,-35705.00901695701,-38527.163303045694,5748.761445515436,0.00017395051255433329,5.680962485091824,0.1760265100542794,-0.17585255954172507,-1.2904274626635015e-07,2.665081130913969e-05,3.590932116671392e-05,6.981038167733573e-06,1.3474006757309898,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,77465.45356305287,74620.48404704245,77476.003088621,878.4348286297434,1
0.1121,353.51,1000000.0,Liquid,190310,5689.475505920914,-50.643049379719216,-53.00546130753523,-6.375091661583355 m^-2 kg^-1 s^2 mol K,-1.6699213279503757 m^-2 kg^-1 s^2 mol K,-35134.10381128087,-37897.58636546308,-19159.62573863631,-16396.14318445409,0.0001757631259611403,339.9558159484526,298.675308505854,-0.09592536616267686,-52.80600108591986,-52.710075719757185,-34979.953398682555,-37872.191307939516,5675.925117504405,0.0001761827330871625,8.154338685945184,0.12263410173575445,-0.1224579190026673,-6.522896001115441e-08,2.7377729449124092e-05,3.643196611024388e-05,7.171450505323788e-06,1.3307153969048175,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,72721.4213064694,69792.68603607382,72731.93171621716,851.2990506222014,1
0.1095,363.45,1000000.0,Liquid,190310,5617.259554676383,-41.14784819735405,-51.193956106772774,-6.157217664915508 m^-2 kg^-1 s^2 mol K,-1.6128503942046069 m^-2 kg^-1 s^2 mol K,-34448.95219196702,-37292.820879357605,-18686.377532351045,-15842.508844960461,0.00017802275117721725,344.9268086448772,302.80844073525753,-0.12867668028652726,-50.98881679820095,-50.860140117914426,-34261.59425446402,-37219.080190103545,5602.937705951555,0.00017847780083968801,11.37741541638945,0.08789342424462018,-0.0877149464437805,4.642060957849026e-09,2.8087878475590906e-05,3.694061267551467e-05,7.357470262885296e-06,1.3151798811582376,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,68140.30082700853,65128.896892899764,68150.78833146756,824.3714434878792,1
0.107,373.34,1000000.0,Liquid,190310,5544.154799132713,-31.81945275451275,-49.4525367132518,-5.947773053339665 m^-2 kg^-1 s^2 mol K,-1.557987493016467 m^-2 kg^-1 s^2 mol K,-33769.68918873169,-36693.44051849886,-18230.830461973426,-15307.07913220626,0.0001803701440941787,350.0327794415818,306.94882914530587,-0.1690132573534022,-49.24158916966411,-49.07257591231071,-33541.5218991837,-36559.35441780285,5529.030128984741,0.00018086354689183495,15.520478603958198,0.06443100277493823,-0.06425013922804639,-2.255546860396862e-10,2.878752438440763e-05,3.743984301644875e-05,7.540738784683474e-06,1.3005579262914155,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,63685.81857297538,60592.17780650727,63696.2992803686,797.418815343379,1
0.1049,383.23,1000000.0,Liquid,190310,5469.572883263701,-22.599304931633586,-47.76507996712168,-5.744818656449859 m^-2 kg^-1 s^2 mol K,-1.5048246690197662 m^-2 kg^-1 s^2 mol K,-33091.249627391626,-36094.77150407923,-17789.759908279186,-14786.23803159158,0.00018282963246726107,355.3059644965142,311.11681448969335,-0.2181537948428777,-47.54832214210124,-47.330168347258365,-32813.32240304185,-35886.202438010136,5453.619085324915,0.00018336447492104633,20.78166460138922,0.048119340735253306,-0.04793597626033226,-8.078495739027858e-08,2.9480568071877975e-05,3.7932503547093456e-05,7.722277889741717e-06,1.2866951360845018,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,59337.32771407987,56161.46678464041,59347.81829379527,770.2822620434684,1
0.1025,393.22,1000000.0,Liquid,190310,5392.486622073952,-13.385742695139443,-46.10877190902573,-5.545610585626415 m^-2 kg^-1 s^2 mol K,-1.4526431751955193 m^-2 kg^-1 s^2 mol K,-32405.060599665998,-35489.030385768856,-17358.139095701754,-14274.169309598905,0.0001854432046074135,360.8124344667771,315.3542402622296,-0.27787843209883845,-45.88635204546405,-45.60847361336521,-32066.49071157383,-35188.80048168737,5375.682256415702,0.0001860228994759749,27.4412164400798,0.036441533201838336,-0.03625551030236236,-1.1619704309850931e-07,3.017418520842394e-05,3.842373310162873e-05,7.903967206733011e-06,1.273397536212567,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,55054.618834260036,51795.72430121569,55065.13729192591,742.6561543242219,1
0.1003,403.15,1000000.0,Liquid,190310,5313.845802009336,-4.317334541545768,-44.504183143271774,-5.352622915894086 m^-2 kg^-1 s^2 mol K,-1.4020910823276629 m^-2 kg^-1 s^2 mol K,-31720.272809287322,-34884.06079276591,-16942.199358555892,-13778.411375077303,0.00018818762102992674,366.47847832821543,319.5924102821563,-0.34850701529601097,-44.27661634843202,-43.928109333136014,-31309.72614297867,-34474.1815948571,5296.202912909855,0.00018881451795633284,35.63567852746483,0.028061763977057105,-0.027872949459100772,4.1996827349066734e-08,3.085744581485398e-05,3.890586626285982e-05,8.082943685785304e-06,1.2608258796368539,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,50908.61669036567,47567.20637179223,50919.1819763007,714.9484498813905,1
0.098,412.95,1000000.0,Liquid,190310,5233.964002200216,4.553591979505107,-42.955553476623926,-5.1663655787973175 m^-2 kg^-1 s^2 mol K,-1.3533019642700432 m^-2 kg^-1 s^2 mol K,-31039.858827124594,-34282.25638735223,-16543.76057918038,-13301.363018952748,0.00019105977793879117,372.27586339317617,323.79950682632256,-0.43049144597973077,-42.723730452765345,-42.29323900678561,-30545.445219931444,-33743.802007521816,5215.528236649946,0.0001917351329771197,45.520657300579664,0.02196804833895195,-0.02177631320597483,-9.415089152753353e-08,3.152587616151607e-05,3.9375899939462417e-05,8.258035457228643e-06,1.2490025570654542,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,46926.623034083794,43503.79749796144,46937.25483612782,687.3235141701523,1
0.0958,424.43,1000000.0,Liquid,190310,5137.067116099854,14.857493999422562,-41.177946906841846,-4.952568650310205 m^-2 kg^-1 s^2 mol K,-1.2972989968331425 m^-2 kg^-1 s^2 mol K,-30234.170130711358,-33568.413895502475,-16091.257889831595,-12757.014125040476,0.0001946636042316723,379.35734571527246,328.75680727096943,-0.5438908548804458,-40.94280551000807,-40.398914655127626,-29623.339012418568,-32850.47284001052,5117.799810475151,0.00019539646665217198,59.76308560817713,0.016732737103908407,-0.016537340637256235,-1.8480932340025902e-08,3.230162428073685e-05,3.991947254268965e-05,8.461238547971723e-06,1.235834835912438,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,42401.822683628096,38883.65345954647,42412.56082856925,654.5489497108742,1
