,A_res,E_res,G_res,H_res,M,R,V,V_vap_gas,V_vap_liq,dE_vap,dH_vap,dV_vap,dpressure,epsilon,eta_CE,eta_CE_ig,eta_CE_m,m,omega22,pressure,rho,rho_vap_gas,rho_vap_liq,s_res,s_res*,s_res**,s_res_vle_gas,s_res_vle_liq,s_total,s_vap,sigma,state,success,temperature,viscosity
250,-99.5057075146274,-192.01169060914086,-198.37003463250178,-290.87601772701527,0.0440962,8.31446261815324,0.007782368525623571,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,378470.0,128.49558546443595,2690.112604400896,7112.243845526636,-0.25265194486948556,-0.03038704441557801 m^-2 kg^-1 s^2 mol K,-0.015179640426618861 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,10.618745410552718,-7.848068896969818,3.618353e-10,G,1,366.14,9.949e-06
251,-106.46251181251252,-205.44378858676185,-212.19032959404322,-311.17160636829254,0.0440962,8.31446261815324,0.007270528552908667,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,404170.0,137.54158211784167,2690.112604400896,7112.243845526636,-0.27033723923703873,-0.03251409641878749 m^-2 kg^-1 s^2 mol K,-0.01624219472232018 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,10.035412778658278,-7.848068896969818,3.618353e-10,G,1,366.14,9.951e-06
252,-110.8996320966971,-214.0114656184542,-221.00170944340297,-324.1135429651601,0.0440962,8.31446261815324,0.006977611152324371,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,420510.0,143.31552420585683,2690.112604400896,7112.243845526636,-0.2816185981366611,-0.03387093202172729 m^-2 kg^-1 s^2 mol K,-0.016919992677560017 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,9.68222096354547,-7.848068896969818,3.618353e-10,G,1,366.14,9.954e-06
253,-114.47575083060303,-220.9169387830546,-228.10138562323297,-334.54257357568457,0.0440962,8.31446261815324,0.006758057669129476,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,433650.0,147.9715103006531,2690.112604400896,7112.243845526636,-0.290711716699764,-0.0349645828059944 m^-2 kg^-1 s^2 mol K,-0.01746631845477031 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,9.407305373302963,-7.848068896969818,3.618353e-10,G,1,366.14,9.956e-06
254,-115.64483986249932,-223.1745062784836,-230.42201274692866,-337.95167916291297,0.0440962,8.31446261815324,0.006689227223195408,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,437940.0,149.49409948766927,2690.112604400896,7112.243845526636,-0.2936845644179393,-0.03532213420224274 m^-2 kg^-1 s^2 mol K,-0.017644930811893892 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,9.319215987600117,-7.848068896969818,3.618353e-10,G,1,366.14,9.957000000000001e-06
255,-122.639850611964,-236.68283528234986,-244.30323082553383,-358.3462154959197,0.0440962,8.31446261815324,0.006304808462511179,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,463550.0,158.6091006485079,2690.112604400896,7112.243845526636,-0.31147371134097857,-0.03746167679687774 m^-2 kg^-1 s^2 mol K,-0.018713724697203272 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,8.80932901046765,-7.848068896969818,3.618353e-10,G,1,366.14,9.959e-06
256,-127.24068766987116,-245.56827047282812,-253.4297957020547,-371.7573785050117,0.0440962,8.31446261815324,0.006075005693838621,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,480340.0,164.60889921703577,2690.112604400896,7112.243845526636,-0.3231757874118014,-0.03886911304480473 m^-2 kg^-1 s^2 mol K,-0.019416799858931372 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,8.488913732657817,-7.848068896969818,3.618353e-10,G,1,366.14,9.962e-06
257,-133.3587736843716,-257.38463759692115,-265.56172316170773,-389.58758707425727,0.0440962,8.31446261815324,0.005793980090595486,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,502600.0,172.59292996590594,2690.112604400896,7112.243845526636,-0.338738908375347,-0.04074092625490518 m^-2 kg^-1 s^2 mol K,-0.02035185135938443 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,8.07954886617984,-7.848068896969818,3.618353e-10,G,1,366.14,9.967e-06
258,-142.09958760131522,-274.2679334111757,-282.88575523282617,-415.0541010426867,0.0440962,8.31446261815324,0.00543446417612652,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,534270.0,184.01078148476492,2690.112604400896,7112.243845526636,-0.36097762006298284,-0.043415628482693334 m^-2 kg^-1 s^2 mol K,-0.021687980583103415 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,7.524697859306252,-7.848068896969818,3.618353e-10,G,1,366.14,9.972e-06
259,-147.84436954677378,-285.36884175711583,-294.2661366153823,-431.79060882572435,0.0440962,8.31446261815324,0.005221192945549249,0.0003715978463129915,0.00014062856188611946,-4917.368144774331,-5830.117139040672,-0.00023096928442687206,2.1420419216156006e-08,208.1101,2.1016012778469628e-05,2.590893195337948e-05,1.0498405597316067e-05,2.0018290000000003,1.2328186238981793,555030.0,191.52711084014612,2691.081258737206,7110.930998567679,-0.37559599128865784,-0.04517381441689409 m^-2 kg^-1 s^2 mol K,-0.022566270354208117 m^-2 kg^-1 s^2 mol K,-4.8235696064237095,-12.667244594645457,7.180137958262078,-7.843674988221747,3.618353e-10,G,1,366.15,9.974e-06
260,-148.9745150492922,-287.54837464911265,-296.5044800914269,-435.0783396912473,0.0440962,8.31446261815324,0.005181332173016782,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,559069.9999999999,193.00055788891052,2690.112604400896,7112.243845526636,-0.3784723318944132,-0.045519758675453305 m^-2 kg^-1 s^2 mol K,-0.022739084445001695 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,7.110613851608615,-7.848068896969818,3.618353e-10,G,1,366.14,9.976e-06
261,-157.71822994264167,-304.4364027533327,-313.8160345662892,-460.5342073769803,0.0440962,8.31446261815324,0.004891396913760582,0.0003718654500725843,0.00014057666996614913,-4922.637521025768,-5836.33025087704,-0.0002312887801064352,2.514570951461792e-08,208.1101,2.1015000240998866e-05,2.5908224339402547e-05,1.0497899791140433e-05,2.0018290000000003,1.2328443512866265,590439.9999999999,204.44057549015878,2689.144688770657,7113.555899715081,-0.4007269898961872,-0.04819637880399712 m^-2 kg^-1 s^2 mol K,-0.024076171742939637 m^-2 kg^-1 s^2 mol K,-4.820539863477777,-12.67300027391875,6.606648780088081,-7.852460410440973,3.618353e-10,G,1,366.13,9.981e-06
262,-165.07247043003017,-318.6451706911445,-328.3686027354854,-481.9413029965997,0.0440962,8.31446261815324,0.004671214414863863,0.0003718654500725843,0.00014057666996614913,-4922.637521025768,-5836.33025087704,-0.0002312887801064352,2.514570951461792e-08,208.1101,2.1015000240998866e-05,2.5908224339402547e-05,1.0497899791140433e-05,2.0018290000000003,1.2328443512866265,616730.0,214.07709241904791,2689.144688770657,7113.555899715081,-0.41944855723681274,-0.050448065798145134 m^-2 kg^-1 s^2 mol K,-0.02520098659682976 m^-2 kg^-1 s^2 mol K,-4.820539863477777,-12.67300027391875,6.204972657422993,-7.852460410440973,3.618353e-10,G,1,366.13,9.989e-06
263,-173.22338471493177,-334.40320316530443,-344.4890039723931,-505.66882242276586,0.0440962,8.31446261815324,0.004448792784842828,0.0003715978463129915,0.00014062856188611946,-4917.368144774331,-5830.117139040672,-0.00023096928442687206,2.1420419216156006e-08,208.1101,2.1016012778469628e-05,2.590893195337948e-05,1.0498405597316067e-05,2.0018290000000003,1.2328186238981793,645810.0,224.78008043148927,2691.081258737206,7110.930998567679,-0.4402016071292439,-0.052944083983027024 m^-2 kg^-1 s^2 mol K,-0.026447855427724855 m^-2 kg^-1 s^2 mol K,-4.8235696064237095,-12.667244594645457,5.784443961479377,-7.843674988221747,3.618353e-10,G,1,366.15,9.988e-06
264,-174.9085183579027,-337.65082897455574,-347.82078876713297,-510.56309938378604,0.0440962,8.31446261815324,0.004405667967800919,0.0003718654500725843,0.00014057666996614913,-4922.637521025768,-5836.33025087704,-0.0002312887801064352,2.514570951461792e-08,208.1101,2.1015000240998866e-05,2.5908224339402547e-05,1.0497899791140433e-05,2.0018290000000003,1.2328443512866265,651719.9999999999,226.98033699056722,2689.144688770657,7113.555899715081,-0.4444932417902194,-0.053460248990685535 m^-2 kg^-1 s^2 mol K,-0.026705702130744198 m^-2 kg^-1 s^2 mol K,-4.820539863477777,-12.67300027391875,5.693305777571165,-7.852460410440973,3.618353e-10,G,1,366.13,9.992000000000002e-06
265,-187.74329454939368,-362.45876261292585,-373.1836737553043,-547.8991418188366,0.0440962,8.31446261815324,0.004100896493867219,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,697120.0,243.84911969747913,2690.112604400896,7112.243845526636,-0.47718213815352656,-0.05739181954004809 m^-2 kg^-1 s^2 mol K,-0.028669691337296084 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,5.067512148033158,-7.848068896969818,3.618353e-10,G,1,366.14,9.999e-06
266,-203.18632083783288,-392.3078846923709,-403.6712219504588,-592.7927858049967,0.0440962,8.31446261815324,0.0037853372226632617,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,751260.0,264.17725586319807,2690.112604400896,7112.243845526636,-0.516528005283602,-0.06212403964098045 m^-2 kg^-1 s^2 mol K,-0.031033639557115238 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,4.362422025666822,-7.848068896969818,3.618353e-10,G,1,366.14,1.0009e-05
267,-204.4035596134729,-394.6710878258436,-406.0727440828563,-596.3402722952269,0.0440962,8.31446261815324,0.0037622976055712836,0.00037146403574549457,0.0001406545457661629,-4914.731026784041,-5827.007670032249,-0.00023080948997933166,7.916241884231567e-08,208.1101,2.1016519039511007e-05,2.5909285753120763e-05,1.0498658496560397e-05,2.0018290000000003,1.2328057612400687,755590.0,265.7950286865081,2692.050653014338,7109.617357568324,-0.5196294740342217,-0.0624970605917089 m^-2 kg^-1 s^2 mol K,-0.03121997962448785 m^-2 kg^-1 s^2 mol K,-4.8250862093242315,-12.66436488946606,4.314415837331564,-7.839278680141829,3.618353e-10,G,1,366.16,1.0007000000000001e-05
268,-223.11455634011898,-430.8344713466541,-442.96546515606343,-650.6853801625984,0.0440962,8.31446261815324,0.0034426767521052674,0.0003717316510706829,0.00014060260330204605,-4920.003641965195,-5833.224664929969,-0.00023112904776863687,5.4016709327697754e-08,208.1101,2.1015506512298935e-05,2.59085781488068e-05,1.0498152695509423e-05,2.0018290000000003,1.2328314872470139,820410.0,290.4716509874125,2690.112604400896,7112.243845526636,-0.5673237423022208,-0.06823336255834073 m^-2 kg^-1 s^2 mol K,-0.03408551008020201 m^-2 kg^-1 s^2 mol K,-4.822054158473885,-12.670123055443703,3.522702824337406,-7.848068896969818,3.618353e-10,G,1,366.14,1.0025e-05
