,A_res,E_res,G_res,H_res,M,R,V,V_vap_gas,V_vap_liq,dE_vap,dH_vap,dV_vap,dpressure,epsilon,eta_CE,eta_CE_ig,eta_CE_m,m,omega22,pressure,rho,rho_vap_gas,rho_vap_liq,s_res,s_res*,s_res**,s_res_vle_gas,s_res_vle_liq,s_total,s_vap,sigma,state,success,temperature,viscosity,refno
129,-80.5295384874546,-147.717487072678,-160.686191124481,-227.874139709704,0.0440962,8.31446261815324,0.0107505933287877,0.00116729323627075,9.84059472098819E-05,-11052.6423524958,-12887.7689746371,-0.00106888728906087,1.20140612125397E-07,208.1101,1.87917356259047E-05,2.43412137146133E-05,9.38728314251852E-06,2.001829,1.29531482345135,242490,93.0181218298174,856.682767386527,10161.9874443887,-0.207896369160293,-0.025004185923740395 m^-2 kg^-1 s^2 mol K,-0.01249067024393212 m^-2 kg^-1 s^2 mol K,-1.83991052437238,-21.1533944902986,0.544723438028927,-19.3134839659262,3.618353E-10,G,1,323.18,0.000008797,Bell
130,-86.7063777447302,-159.046490971583,-172.980248464201,-245.320361691054,0.0440962,8.31446261815324,0.00998117265308859,0.00116729323627075,9.84059472098819E-05,-11052.6423524958,-12887.7689746371,-0.00106888728906087,1.20140612125397E-07,208.1101,1.87917356259047E-05,2.43412137146133E-05,9.38728314251852E-06,2.001829,1.29531482345135,260570,100.188628606736,856.682767386527,10161.9874443887,-0.22383845914615,-0.026921578630642522 m^-2 kg^-1 s^2 mol K,-0.013448490670602992 m^-2 kg^-1 s^2 mol K,-1.83991052437238,-21.1533944902986,-0.088653661602896,-19.3134839659262,3.618353E-10,G,1,323.18,0.000008796,Bell
131,-94.3233472604209,-173.018467003958,-188.13451968105,-266.829639424587,0.0440962,8.31446261815324,0.00917087488910219,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,282780,109.040850746782,856.890365787341,10161.528926224,-0.243494909321258,-0.029285706184982743 m^-2 kg^-1 s^2 mol K,-0.01462947443811771 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-0.809240354351705,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008796,Bell
132,-100.021411248514,-183.469074240364,-199.466621956395,-282.914284948245,0.0440962,8.31446261815324,0.00864557135696457,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,299310,115.666155388844,856.890365787341,10161.528926224,-0.25820001544556,-0.031054323929705724 m^-2 kg^-1 s^2 mol K,-0.015512975348896294 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-1.31437804132679,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008798,Bell
133,-108.315944278953,-198.681480535205,-215.95568898601,-306.321225242262,0.0440962,8.31446261815324,0.00797968022289763,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,323260,125.318305003064,856.890365787341,10161.528926224,-0.279604988570973,-0.03362875045712537 m^-2 kg^-1 s^2 mol K,-0.01679901253160253 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-2.00217779498043,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008797,Bell
134,-114.618750568498,-210.240775990833,-228.479916629255,-324.10194205159,0.0440962,8.31446261815324,0.00753812580923979,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,341370,132.65896925921,856.890365787341,10161.528926224,-0.295869381547496,-0.035584907303752154 m^-2 kg^-1 s^2 mol K,-0.017776197319427457 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-2.49174092407709,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008799,Bell
135,-121.123607838816,-222.170425142178,-241.400740571251,-342.447557874613,0.0440962,8.31446261815324,0.00713060181351328,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,359980,140.240617293324,856.890365787341,10161.528926224,-0.312654529234698,-0.037603696545831976 m^-2 kg^-1 s^2 mol K,-0.01878466969248221 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-2.97062684298456,-19.3114785803406,3.618353E-10,G,1,323.19,0.0000088,Bell
136,-128.692084356768,-236.050446619994,-256.427997538406,-363.786359801632,0.0440962,8.31446261815324,0.00670829360831208,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,381530,149.069205730788,856.890365787341,10161.528926224,-0.332183428519527,-0.039952483254210566 m^-2 kg^-1 s^2 mol K,-0.019957990045208936 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-3.49776219753669,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008801,Bell
137,-135.270128211684,-248.113859228829,-269.483256506506,-382.32698752365,0.0440962,8.31446261815324,0.00637963376881357,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,400170,156.748809765294,856.890365787341,10161.528926224,-0.349156010449409,-0.04199381565407314 m^-2 kg^-1 s^2 mol K,-0.020977723698714094 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-3.93240283092389,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008801,Bell
138,-144.132184049502,-264.365563810963,-287.063445440187,-407.296825201648,0.0440962,8.31446261815324,0.00598428769180351,0.00116701043672158,9.84103875765471E-05,-11051.7151142469,-12886.747290876,-0.00106860004914503,1.72294676303864E-08,208.1101,1.8792265133316E-05,2.43415903008102E-05,9.38754765432811E-06,2.001829,1.29529836494569,425150,167.104265620396,856.890365787341,10161.528926224,-0.372020730101366,-0.044743809334005596 m^-2 kg^-1 s^2 mol K,-0.022351464252943477 m^-2 kg^-1 s^2 mol K,-1.8402800936414,-21.151758673982,-4.48717179676556,-19.3114785803406,3.618353E-10,G,1,323.19,0.000008804,Bell
