thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.1805,298.0,73500000.0,Liquid,71483,13775.556084724503,-137.853199805018,-89.3089694686786,-10.741400084436892 m^-2 kg^-1 s^2 mol K,-3.5808247772900264 m^-2 kg^-1 s^2 mol K,-47386.145693225015,-44528.31776839361,-17914.244866727386,-20772.072791558796,7.259235081688529e-05,173.80293597543775,149.3003819679349,-0.045483622500677896,-84.8116911030908,-84.76620748059011,-46030.945327759124,-48504.46654346969,13098.577508416816,7.63441678577254e-05,1.1040221876346807,0.9057788975622458,-0.9057025533943881,4.969842848367989e-08,2.3936694173753337e-05,3.3776625167719604e-05,7.97969602752053e-06,1.4110814518721546,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1763,323.0,73500000.0,Liquid,71483,13500.53847636351,-123.50661525200115,-82.29507836022867,-9.897822882810383 m^-2 kg^-1 s^2 mol K,-3.2996042546955975 m^-2 kg^-1 s^2 mol K,-45265.70058792155,-42507.04472378599,-15925.734413432137,-18684.390277567694,7.40711195891024e-05,182.38390558888932,156.72864717892568,-0.10251856198172216,-77.51003242989607,-77.40751386791435,-43666.94468867502,-46338.74977524489,12753.620157817651,7.840910954110743e-05,4.521513590374978,0.22116487764820986,-0.22108646853866876,6.182199285831302e-08,2.584830422008281e-05,3.51648997363707e-05,8.616963103004571e-06,1.3604335292931662,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.172,348.0,73500000.0,Liquid,71483,13223.20697756049,-109.61593245781377,-75.64139316457678,-9.097568494616409 m^-2 kg^-1 s^2 mol K,-3.032826114150218 m^-2 kg^-1 s^2 mol K,-43090.41626263986,-40425.439699650684,-14102.234878377967,-16767.211441367144,7.562461978376194e-05,190.22918069602937,162.8808651835212,-0.20125628426882075,-70.44308686730513,-70.2418305830363,-41157.14474550812,-44013.14605179043,12388.320579046502,8.072119167560059e-05,14.314412655855282,0.06985965991353142,-0.06977893872185582,2.601445885375142e-07,2.7706108354598282e-05,3.6500410123961335e-05,9.236293080840846e-06,1.3174138228584347,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1679,373.0,73500000.0,Liquid,71483,12939.884900656925,-96.17447557641484,-69.35772544016936,-8.341816979095961 m^-2 kg^-1 s^2 mol K,-2.780883748073461 m^-2 kg^-1 s^2 mol K,-40882.704447794975,-38303.886656823655,-12433.455067640478,-15012.272858611801,7.728044010261888e-05,197.1938751847937,167.74871305869794,-0.3579518244785816,-63.612854101342414,-63.25490227686383,-38491.21545689393,-41505.46968027506,11993.565097210265,8.337804413406675e-05,37.21341298564169,0.026872031339502157,-0.02678865329536809,1.8470745999366045e-07,2.9516143785727116e-05,3.778875103738881e-05,9.839698565098882e-06,1.280273985372778,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1644,398.0,73500000.0,Liquid,71483,12648.01563541902,-83.18325171294642,-63.458382287792126,-7.632289084954372 m^-2 kg^-1 s^2 mol K,-2.5443507967311305 m^-2 kg^-1 s^2 mol K,-38667.25281461023,-36165.22067448812,-10908.78452394685,-13410.816664068958,7.906378587955238e-05,203.22391516230624,171.42256614019982,-0.5930255981705542,-57.01842811461538,-56.42540251644483,-35650.594206125126,-38781.38223500115,11559.140484237176,8.651162267330063e-05,83.28182275471482,0.01200742211112793,-0.011920910488454629,5.593756213784218e-08,3.128337838876358e-05,3.9034593256675914e-05,1.042883567982251e-05,1.247774226031049,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1612,423.0,73500000.0,Liquid,71483,12346.019799642629,-70.64419178228822,-57.95610378625021,-6.9705170914729635 m^-2 kg^-1 s^2 mol K,-2.323738070964751 m^-2 kg^-1 s^2 mol K,-36469.0450674471,-34032.72708944062,-9517.295187856773,-11953.613165863255,8.099776415626243e-05,208.33419029585966,174.06884590118634,-0.9335657884923754,-50.64692585946863,-49.71336007097626,-32602.531057564418,-35788.85143477755,11072.333274347,9.031520052930992e-05,166.57385993809885,0.006003342903692175,-0.005913027703162865,-3.3492688089609146e-07,3.30106927277765e-05,4.024188410676746e-05,1.1004664709063074e-05,1.2190560324990198,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1581,448.0,73500000.0,Liquid,71483,12033.20466483113,-58.556567525255815,-52.85896048174808,-6.35747166225023 m^-2 kg^-1 s^2 mol K,-2.1193691576658433 m^-2 kg^-1 s^2 mol K,-34311.896318460254,-31928.67701849327,-8247.86272267013,-10631.082022637114,8.310338167210369e-05,212.58811994883123,175.90515853229746,-1.4183432521516244,-44.46438594882469,-43.04604269667307,-29289.633190028304,-32447.246379899465,10515.417612760755,9.50984579810194e-05,307.0142600670569,0.0032571776952040722,-0.0031620792372230528,3.096647560596466e-07,3.4699471352891804e-05,4.1413995245700195e-05,1.1567647215685504e-05,1.1935050774843812,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1554,473.0,73500000.0,Liquid,71483,11709.712620902388,-46.91540876135295,-48.16909561835153,-5.793410570297394 m^-2 kg^-1 s^2 mol K,-1.9313299897647747 m^-2 kg^-1 s^2 mol K,-32217.434474945672,-29873.33465859285,-7089.352431112574,-9433.452247465395,8.539919230937853e-05,216.08050819234865,177.17580261575915,-2.109613398358229,-38.40129521260315,-36.291681814244924,-25607.608788079247,-28622.42707817756,9860.442992636534,0.00010141532188226921,535.4930031072506,0.0018674380322383337,-0.0017660227103560645,2.2817403078079224e-08,3.635046221067483e-05,4.255383376335502e-05,1.2118032540145625e-05,1.170654543998026,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1881,298.0,98000000.0,Liquid,71483,13957.828994179354,-139.22467424043518,-90.57115157579453,-10.893205698952515 m^-2 kg^-1 s^2 mol K,-3.6314317094884543 m^-2 kg^-1 s^2 mol K,-47713.77705455535,-43170.337705896825,-16180.134536310054,-20723.573884968584,7.164437968232858e-05,173.39528801474205,149.5899847027454,-0.045483622500677896,-84.8116911030908,-84.76620748059011,-46030.945327759124,-48504.46654346969,13098.577508416816,7.63441678577254e-05,1.1040221876346807,0.9057788975622458,-0.9057025533943881,4.969842848367989e-08,2.3936694173753337e-05,3.3776625167719604e-05,7.97969602752053e-06,1.4110814518721546,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1843,323.0,98000000.0,Liquid,71483,13696.144720167862,-124.92634622089177,-83.59520732953644,-10.0541924558083 m^-2 kg^-1 s^2 mol K,-3.351732658535287 m^-2 kg^-1 s^2 mol K,-45633.83241305012,-41164.10561411955,-14162.853646679276,-18632.58044560985,7.3013247189735e-05,181.58659077614604,156.9504190277985,-0.10251856198172216,-77.51003242989607,-77.40751386791435,-43666.94468867502,-46338.74977524489,12753.620157817651,7.840910954110743e-05,4.521513590374978,0.22116487764820986,-0.22108646853866876,6.182199285831302e-08,2.584830422008281e-05,3.51648997363707e-05,8.616963103004571e-06,1.3604335292931662,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
